,Label,Section Name,Section Number,Question Number,Column,Type of Variable,SAS Variable Name,Question Prologue,Valid Values,Question,Core Section Number,Module Number
WHEREGET,Where did you get what you used to prevent pregnancy?,Family Planning,,5,648-649,Num,WHEREGET,Question:  Where did you get the [response from Q3] you used when you last had sexual intercourse?,"{'1': {'Value Label': 'Private doctor´s office\x97Go to Module 27.07 BCPREFER', 'Frequency': '4,860', 'Percentage': '49.72', 'Weighted Percentage': '46.52'}, '2': {'Value Label': 'Community health clinic, Community clinic, Public health clinic\x97Go to Module 27.07 BCPREFER', 'Frequency': '472', 'Percentage': '4.83', 'Weighted Percentage': '5.82'}, '3': {'Value Label': 'Family planning or Planned Parenthood Clinic\x97Go to Module 27.07 BCPREFER', 'Frequency': '372', 'Percentage': '3.81', 'Weighted Percentage': '4.43'}, '4': {'Value Label': 'School or school-based clinic\x97Go to Module 27.07 BCPREFER', 'Frequency': '39', 'Percentage': '0.40', 'Weighted Percentage': '0.42'}, '5': {'Value Label': 'Hospital outpatient clinic, emergency room, regular hospital room\x97Go to Module 27.07 BCPREFER', 'Frequency': '1,386', 'Percentage': '14.18', 'Weighted Percentage': '12.08'}, '6': {'Value Label': 'Urgent care center, urgi-care or walk-in facility\x97Go to Module 27.07 BCPREFER', 'Frequency': '11', 'Percentage': '0.11', 'Weighted Percentage': '0.08'}, '7': {'Value Label': 'In- store health clinic (like CVS, Target, or Walmart)\x97Go to Module 27.07 BCPREFER', 'Frequency': '1,464', 'Percentage': '14.98', 'Weighted Percentage': '18.43'}, '8': {'Value Label': 'Health care visit with a pharmacist\x97Go to Module 27.07 BCPREFER', 'Frequency': '133', 'Percentage': '1.36', 'Weighted Percentage': '1.26'}, '9': {'Value Label': 'Website or app\x97Go to Module 27.07 BCPREFER', 'Frequency': '153', 'Percentage': '1.57', 'Weighted Percentage': '1.82'}, '10': {'Value Label': 'Some other place\x97Go to Module 27.07 BCPREFER', 'Frequency': '404', 'Percentage': '4.13', 'Weighted Percentage': '4.82'}, '77': {'Value Label': 'Don\x92t know/Not sure\x97Go to Module 27.07 BCPREFER', 'Frequency': '353', 'Percentage': '3.61', 'Weighted Percentage': '3.23'}, '99': {'Value Label': 'Refused\x97Go to Module 27.07 BCPREFER', 'Frequency': '127', 'Percentage': '1.30', 'Weighted Percentage': '1.10'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.01, AGE, is greater than 49; or Section 08.17, PREGNANT, is coded 1; or Section 10.07, HADHYST2, is coded 1; or SEXVAR is coded 1, or BIRTHSEX is coded 1; or Module 27.01, HADSEX, is coded 2, 7, 9 or missing; or Module 27.02, PFPPRVN4, is coded 2, 7, 9, or missing; or Module 27.03, TYPCNTR9, is coded 9, 12, 77, 99 or missing;', 'Frequency': '435,358', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,27
NOBCUSE8,What was main reason for not doing anything to keep you from getting pregnant?,Family Planning,,6,650-651,Num,NOBCUSE8,Question:  What was your main reason for not doing anything to prevent pregnancy the last time you had sexual intercourse?,"{'1': {'Value Label': 'You didn´t think you were going to have sex/no regular partner', 'Frequency': '71', 'Percentage': '2.25', 'Weighted Percentage': '2.18'}, '2': {'Value Label': 'You just didn´t think about it', 'Frequency': '193', 'Percentage': '6.10', 'Weighted Percentage': '7.41'}, '3': {'Value Label': 'You wanted a pregnancy', 'Frequency': '756', 'Percentage': '23.91', 'Weighted Percentage': '26.40'}, '4': {'Value Label': 'You didn´t care if you got pregnant', 'Frequency': '210', 'Percentage': '6.64', 'Weighted Percentage': '5.31'}, '5': {'Value Label': 'You or your partner didn´t want to use birth control (side effects, don´t like birth control)', 'Frequency': '51', 'Percentage': '1.61', 'Weighted Percentage': '1.77'}, '6': {'Value Label': 'You had trouble getting or paying for birth control', 'Frequency': '15', 'Percentage': '0.47', 'Weighted Percentage': '0.37'}, '7': {'Value Label': 'You didn´t trust giving out your personal information to medical personnel', 'Frequency': '2', 'Percentage': '0.06', 'Weighted Percentage': '0.24'}, '8': {'Value Label': 'Didn´t think you or your partner could get pregnant (infertile or too old)', 'Frequency': '440', 'Percentage': '13.92', 'Weighted Percentage': '13.24'}, '9': {'Value Label': 'You were using withdrawal or ""pulling out""', 'Frequency': '33', 'Percentage': '1.04', 'Weighted Percentage': '1.14'}, '10': {'Value Label': 'You had your tubes tied (sterilization)', 'Frequency': '492', 'Percentage': '15.56', 'Weighted Percentage': '14.17'}, '11': {'Value Label': 'Your partner had a vasectomy (sterilization)', 'Frequency': '104', 'Percentage': '3.29', 'Weighted Percentage': '2.39'}, '12': {'Value Label': 'You were breast-feeding or you just had a baby', 'Frequency': '17', 'Percentage': '0.54', 'Weighted Percentage': '0.37'}, '13': {'Value Label': 'You were assigned male at birth', 'Frequency': '2', 'Percentage': '0.06', 'Weighted Percentage': '0.01'}, '14': {'Value Label': 'Other reasons', 'Frequency': '575', 'Percentage': '18.18', 'Weighted Percentage': '18.98'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '113', 'Percentage': '3.57', 'Weighted Percentage': '3.29'}, '99': {'Value Label': 'Refused', 'Frequency': '88', 'Percentage': '2.78', 'Weighted Percentage': '2.71'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.01, AGE, is greater than 49; or Section 08.17, PREGNANT, is coded 1; or Section 10.07, HADHYST2, is coded 1; or SEXVAR is coded 1, or BIRTHSEX is coded 1; or Module 27.01, HADSEX, is coded 2, 7, 9 or missing; or Module 27..05, WHEREGET, is not missing; ; or Module 27.02, PFPPRVN4, is coded 7, 9, or missing;', 'Frequency': '441,970', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,27
BCPREFER,What is your preferred birth control method?,Family Planning,,7,652-653,Num,BCPREFER,"Question:  If you could use any birth control method you wanted, what method would you use?","{'1': {'Value Label': 'Female sterilization (Tubal ligation, Essure, or Adiana)', 'Frequency': '1,227', 'Percentage': '8.45', 'Weighted Percentage': '7.86'}, '2': {'Value Label': 'Male sterilization (vasectomy)', 'Frequency': '1,520', 'Percentage': '10.46', 'Weighted Percentage': '8.73'}, '3': {'Value Label': 'Contraceptive implant', 'Frequency': '438', 'Percentage': '3.02', 'Weighted Percentage': '3.77'}, '4': {'Value Label': 'Intrauterine device or IUD (Mirena, Levonorgestrel, ParaGard)', 'Frequency': '2,431', 'Percentage': '16.73', 'Weighted Percentage': '15.88'}, '5': {'Value Label': 'Shots (Depo-Provera)', 'Frequency': '544', 'Percentage': '3.74', 'Weighted Percentage': '4.74'}, '6': {'Value Label': 'Birth control pills, Contraceptive Ring (NuvaRing), Contraceptive patch (Ortho Evra)', 'Frequency': '2,761', 'Percentage': '19.01', 'Weighted Percentage': '19.91'}, '7': {'Value Label': 'Condoms (male or female)', 'Frequency': '1,252', 'Percentage': '8.62', 'Weighted Percentage': '9.65'}, '8': {'Value Label': 'Diaphragm, cervical cap, sponge, foam, jelly, film, or cream', 'Frequency': '36', 'Percentage': '0.25', 'Weighted Percentage': '0.20'}, '9': {'Value Label': 'Having sex at a time when less likely to get pregnant (rhythm or natural family planning)', 'Frequency': '152', 'Percentage': '1.05', 'Weighted Percentage': '1.04'}, '10': {'Value Label': 'Withdrawal or pulling out', 'Frequency': '173', 'Percentage': '1.19', 'Weighted Percentage': '1.56'}, '11': {'Value Label': 'Emergency contraception or the morning after pill (Plan B or ella)', 'Frequency': '25', 'Percentage': '0.17', 'Weighted Percentage': '0.19'}, '12': {'Value Label': 'Other method', 'Frequency': '421', 'Percentage': '2.90', 'Weighted Percentage': '3.07'}, '13': {'Value Label': 'I am using the method that I want to use', 'Frequency': '1,385', 'Percentage': '9.53', 'Weighted Percentage': '8.24'}, '14': {'Value Label': 'I don´t want to use any method', 'Frequency': '1,187', 'Percentage': '8.17', 'Weighted Percentage': '8.42'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '587', 'Percentage': '4.04', 'Weighted Percentage': '4.11'}, '99': {'Value Label': 'Refused', 'Frequency': '388', 'Percentage': '2.67', 'Weighted Percentage': '2.62'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.01, AGE, is greater than 49; or Section 08.17, PREGNANT, is coded 1; or Section 10.07, HADHYST2, is coded 1; or SEXVAR is coded 1, or BIRTHSEX is coded 1; or Module 27.01, HADSEX, is coded 2, 7, 9 or missing;', 'Frequency': '430,605', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,27
RRCLASS3,How do other people usually classify you in this country?,Reactions to Race,,1,654-655,Num,RRCLASS3,"Question:  How do other people usually classify you in this country? Would you say White, Black or African American, Hispanic or Latino, Asian, Native Hawaiian or Other Pacific Islander, American Indian or Alaska Native, or some other group?","{'1': {'Value Label': 'White', 'Frequency': '127,773', 'Percentage': '79.00', 'Weighted Percentage': '62.76'}, '2': {'Value Label': 'Black or African American', 'Frequency': '15,108', 'Percentage': '9.34', 'Weighted Percentage': '12.84'}, '3': {'Value Label': 'Hispanic or Latino', 'Frequency': '7,344', 'Percentage': '4.54', 'Weighted Percentage': '11.29'}, '4': {'Value Label': 'Asian', 'Frequency': '2,746', 'Percentage': '1.70', 'Weighted Percentage': '5.78'}, '5': {'Value Label': 'Native Hawaiian or Other Pacific Islander', 'Frequency': '215', 'Percentage': '0.13', 'Weighted Percentage': '0.31'}, '6': {'Value Label': 'American Indian or Alaska Native', 'Frequency': '1,653', 'Percentage': '1.02', 'Weighted Percentage': '0.90'}, '7': {'Value Label': 'Mixed Race', 'Frequency': '866', 'Percentage': '0.54', 'Weighted Percentage': '1.07'}, '8': {'Value Label': 'Some other group', 'Frequency': '1,669', 'Percentage': '1.03', 'Weighted Percentage': '1.61'}, '77': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '1,986', 'Percentage': '1.23', 'Weighted Percentage': '1.64'}, '99': {'Value Label': 'Refused', 'Frequency': '2,378', 'Percentage': '1.47', 'Weighted Percentage': '1.79'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '283,394', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,28
RRCOGNT2,How often do you think about your race?,Reactions to Race,,2,656,Num,RRCOGNT2,"Question:  How often do you think about your race? Would you say never, once a year, once a month, once a week, once a day, once an hour, or constantly?","{'1': {'Value Label': 'Never', 'Frequency': '89,779', 'Percentage': '55.64', 'Weighted Percentage': '50.35'}, '2': {'Value Label': 'Once a year', 'Frequency': '13,292', 'Percentage': '8.24', 'Weighted Percentage': '8.13'}, '3': {'Value Label': 'Once a month', 'Frequency': '17,416', 'Percentage': '10.79', 'Weighted Percentage': '11.18'}, '4': {'Value Label': 'Once a week', 'Frequency': '14,459', 'Percentage': '8.96', 'Weighted Percentage': '9.03'}, '5': {'Value Label': 'Once a day', 'Frequency': '10,607', 'Percentage': '6.57', 'Weighted Percentage': '7.27'}, '6': {'Value Label': 'Once an hour', 'Frequency': '555', 'Percentage': '0.34', 'Weighted Percentage': '0.41'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '4,790', 'Percentage': '2.97', 'Weighted Percentage': '3.49'}, '8': {'Value Label': 'Constantly', 'Frequency': '8,512', 'Percentage': '5.28', 'Weighted Percentage': '8.61'}, '9': {'Value Label': 'Refused', 'Frequency': '1,934', 'Percentage': '1.20', 'Weighted Percentage': '1.53'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '283,788', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,28
RRTREAT,"Were you treated worse than, the same, or better than people of other races?",Reactions to Race,,3,657,Num,RRTREAT,"Question:  Within the past 12 months, do you feel that in general you were treated worse than, the same as, or better than people of other races?","{'1': {'Value Label': 'Worse than other races', 'Frequency': '9,649', 'Percentage': '5.99', 'Weighted Percentage': '8.28'}, '2': {'Value Label': 'The same as other races', 'Frequency': '97,773', 'Percentage': '60.74', 'Weighted Percentage': '61.68'}, '3': {'Value Label': 'Better than other races', 'Frequency': '35,375', 'Percentage': '21.98', 'Weighted Percentage': '18.30'}, '4': {'Value Label': 'Worse than some races, better than others', 'Frequency': '1,470', 'Percentage': '0.91', 'Weighted Percentage': '1.37'}, '5': {'Value Label': 'Only encountered people of the same race', 'Frequency': '864', 'Percentage': '0.54', 'Weighted Percentage': '0.36'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '11,575', 'Percentage': '7.19', 'Weighted Percentage': '7.17'}, '9': {'Value Label': 'Refused', 'Frequency': '4,259', 'Percentage': '2.65', 'Weighted Percentage': '2.83'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '284,167', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,28
RRATWRK2,How do you feel you were treated at work compared to people of other races in past 12 months?,Reactions to Race,,4,658,Num,RRATWRK2,"Question:  Within the past 12 months at work, do you feel you were treated worse than, the same as, or better than people of other races?","{'1': {'Value Label': 'Worse than other races', 'Frequency': '3,676', 'Percentage': '4.43', 'Weighted Percentage': '6.09'}, '2': {'Value Label': 'The same as other races', 'Frequency': '67,242', 'Percentage': '80.98', 'Weighted Percentage': '80.35'}, '3': {'Value Label': 'Better than other races', 'Frequency': '5,548', 'Percentage': '6.68', 'Weighted Percentage': '6.14'}, '4': {'Value Label': 'Worse than some races, better than others', 'Frequency': '385', 'Percentage': '0.46', 'Weighted Percentage': '0.76'}, '5': {'Value Label': 'Only encountered people of the same race', 'Frequency': '1,228', 'Percentage': '1.48', 'Weighted Percentage': '0.84'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '3,119', 'Percentage': '3.76', 'Weighted Percentage': '3.56'}, '9': {'Value Label': 'Refused', 'Frequency': '1,839', 'Percentage': '2.21', 'Weighted Percentage': '2.26'}, 'BLANK': {'Value Label': 'Not asked or Missing\nNotes: Section 08.14, EMPLOY1, is coded 3, 5, 6, 7, 8, 9 or Missing', 'Frequency': '362,095', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,28
RRHCARE4,"When seeking health care past 12 months, was experience worse, same, better than people of other races?",Reactions to Race,,5,659,Num,RRHCARE4,"Question:  Within the past 12 months when seeking health care, do you feel your experiences were worse than, the same as, or better than for people of other races?","{'1': {'Value Label': 'Worse than other races', 'Frequency': '3,899', 'Percentage': '2.43', 'Weighted Percentage': '3.54'}, '2': {'Value Label': 'The same as other races', 'Frequency': '109,321', 'Percentage': '68.11', 'Weighted Percentage': '70.75'}, '3': {'Value Label': 'Better than other races', 'Frequency': '24,846', 'Percentage': '15.48', 'Weighted Percentage': '12.84'}, '4': {'Value Label': 'Worse than some races, better than others', 'Frequency': '499', 'Percentage': '0.31', 'Weighted Percentage': '0.43'}, '5': {'Value Label': 'Only encountered people of the same race', 'Frequency': '700', 'Percentage': '0.44', 'Weighted Percentage': '0.27'}, '6': {'Value Label': '', 'Frequency': '673', 'Percentage': '0.42', 'Weighted Percentage': '0.63'}, '7': {'Value Label': 'Don\x92t know/Not sure', 'Frequency': '16,738', 'Percentage': '10.43', 'Weighted Percentage': '9.12'}, '9': {'Value Label': 'Refused', 'Frequency': '3,832', 'Percentage': '2.39', 'Weighted Percentage': '2.42'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '284,624', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,28
RRPHYSM2,Times past 30 days felt physical symptoms because of treatment due to your race,Reactions to Race,,6,660,Num,RRPHYSM2,"Question:  Within the past 30 days, have you experienced any physical symptoms, for example, a headache, an upset stomach, tensing of your muscles, or a pounding heart, as a result of how you were treated based on your race?","{'1': {'Value Label': 'Yes', 'Frequency': '4,840', 'Percentage': '3.02', 'Weighted Percentage': '4.53'}, '2': {'Value Label': 'No', 'Frequency': '152,591', 'Percentage': '95.26', 'Weighted Percentage': '93.19'}, '7': {'Value Label': 'Don\x92t know/Not Sure', 'Frequency': '980', 'Percentage': '0.61', 'Weighted Percentage': '0.88'}, '9': {'Value Label': 'Refused', 'Frequency': '1,779', 'Percentage': '1.11', 'Weighted Percentage': '1.39'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '284,942', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,28
QSTVER,Questionnaire Version Identifier,Questionnaire Version,,1,665-666,Num,QSTVER,Question:  Questionnaire Version Identifier,"{'10': {'Value Label': 'Landline single questionnaire', 'Frequency': '60,413', 'Percentage': '13.57', 'Weighted Percentage': '7.64'}, '11': {'Value Label': 'Landline multiple questionnaire version 1', 'Frequency': '16,065', 'Percentage': '3.61', 'Weighted Percentage': '2.06'}, '12': {'Value Label': 'Landline multiple questionnaire version 2', 'Frequency': '14,921', 'Percentage': '3.35', 'Weighted Percentage': '1.99'}, '13': {'Value Label': 'Landline multiple questionnaire version 3', 'Frequency': '4,652', 'Percentage': '1.05', 'Weighted Percentage': '0.92'}, '20': {'Value Label': 'Cell Phone single questionnaire', 'Frequency': '217,614', 'Percentage': '48.89', 'Weighted Percentage': '54.18'}, '21': {'Value Label': 'Cell Phone multiple questionnaire version 1', 'Frequency': '60,049', 'Percentage': '13.49', 'Weighted Percentage': '15.12'}, '22': {'Value Label': 'Cell Phone multiple questionnaire version 2', 'Frequency': '55,903', 'Percentage': '12.56', 'Weighted Percentage': '14.06'}, '23': {'Value Label': 'Cell Phone multiple questionnaire version 3', 'Frequency': '15,515', 'Percentage': '3.49', 'Weighted Percentage': '4.02'}}",,,1
QSTLANG,Language identifier,Questionnaire Language,,1,667-668,Num,QSTLANG,Question:  Language identifier,"{'1': {'Value Label': 'English', 'Frequency': '427,474', 'Percentage': '96.03', 'Weighted Percentage': '93.14'}, '2': {'Value Label': 'Spanish', 'Frequency': '17,658', 'Percentage': '3.97', 'Weighted Percentage': '6.86'}}",,,1
_METSTAT,Metropolitan Status,Urban Rural,,2,1402,Num,_METSTAT,Question:  Metropolitan Status,"{'1': {'Value Label': 'Metropolitan counties (_URBNRRL = 1,2,3,4)', 'Frequency': '318,082', 'Percentage': '73.00', 'Weighted Percentage': '85.32'}, '2': {'Value Label': 'Nonmetropolitan counties (_URBNRRL = 5,6)', 'Frequency': '117,642', 'Percentage': '27.00', 'Weighted Percentage': '14.68'}, 'BLANK': {'Value Label': 'Not defined or Missing', 'Frequency': '9,408', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,1
_URBSTAT,Urban/Rural Status,Urban Rural,,3,1403,Num,_URBSTAT,Question:  Urban/Rural Status,"{'1': {'Value Label': 'Urban counties (_URBNRRL = 1,2,3,4,5)', 'Frequency': '380,732', 'Percentage': '87.38', 'Weighted Percentage': '93.76'}, '2': {'Value Label': 'Rural counties (_URBNRRL = 6)', 'Frequency': '54,992', 'Percentage': '12.62', 'Weighted Percentage': '6.24'}, 'BLANK': {'Value Label': 'Not defined or Missing', 'Frequency': '9,408', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,1
MSCODE,Metropolitan Status Code,Weighting Variables,,2,1409,Num,MSCODE,Question:  Metropolitan Status Code,"{'1': {'Value Label': 'In the center city of an MSA', 'Frequency': '29,393', 'Percentage': '31.31', 'Weighted Percentage': '33.34'}, '2': {'Value Label': 'Outside the center city of an MSA but inside the county containing the center city', 'Frequency': '16,030', 'Percentage': '17.07', 'Weighted Percentage': '24.15'}, '3': {'Value Label': 'Inside a suburban county of the MSA', 'Frequency': '16,068', 'Percentage': '17.11', 'Weighted Percentage': '20.74'}, '5': {'Value Label': 'Not in an MSA', 'Frequency': '32,395', 'Percentage': '34.50', 'Weighted Percentage': '21.78'}, 'BLANK': {'Value Label': 'GU, PR, VI, or cell phone', 'Frequency': '351,246', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,1
_STSTR,Sample Design Stratification Variable,Weighting Variables,,3,1410-1415,Num,_STSTR,"Question:  Sample Design Stratification Variable  (Prior to 2011:  _STSTR is a five digit number that combines the values for _STATE (first two characters), _GEOSTR (third and fourth character), and _DENSTR2 (final character).)","{'HIDDEN': {'Value Label': 'Data not displayed\nNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,1
_STRWT,Stratum weight,Weighting Variables,,4,1416-1425,Num,_STRWT,Question:  Stratum weight  (Number of records in a stratum (NRECSTR) divided by the number of records selected (NRECSEL).),"{'HIDDEN': {'Value Label': 'Data not displayed\nNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,1
_RAWRAKE,Raw weighting factor used in raking,Weighting Variables,,7,1446-1455,Num,_RAWRAKE,"Question:  Raw weighting factor used in raking  (Number of adults in the household (NUMADULT, maximum of 5) divided by the imputed number of phones (_IMPNPH, maximum of 3).)","{'HIDDEN': {'Value Label': 'Data not displayed\nNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,1
_WT2RAKE,Design weight use in raking,Weighting Variables,,8,1456-1465,Num,_WT2RAKE,Question:  Design weight used in raking  (Stratum weight (_STRWT) multiplied by the raw weighting factor (_RAWRAKE).),"{'HIDDEN': {'Value Label': 'Data not displayed\nNotes: Floating Decimal Point. Due to the nature of the data or the size of the table for display, this information is not printed for this report', 'Frequency': '445,132', 'Percentage': '100.00', 'Weighted Percentage': '100.00'}}",,,1
_IMPRACE,Imputed race/ethnicity value,Weighting Variables,,12,1471-1472,Num,_IMPRACE,"Question:  Imputed race/ethnicity value  (This value is the reported race/ethnicity or an imputed race/ethnicity, if the respondent refused to give a race/ethnicity. The value of the imputed race/ethnicity will be the most common race/ethnicity response for that region of the state)","{'1': {'Value Label': 'White, Non-Hispanic', 'Frequency': '333,514', 'Percentage': '74.92', 'Weighted Percentage': '59.20'}, '2': {'Value Label': 'Black, Non-Hispanic', 'Frequency': '35,876', 'Percentage': '8.06', 'Weighted Percentage': '11.62'}, '3': {'Value Label': 'Asian, Non-Hispanic', 'Frequency': '13,487', 'Percentage': '3.03', 'Weighted Percentage': '6.11'}, '4': {'Value Label': 'American Indian/Alaskan Native, Non-Hispanic', 'Frequency': '7,120', 'Percentage': '1.60', 'Weighted Percentage': '1.21'}, '5': {'Value Label': 'Hispanic', 'Frequency': '42,977', 'Percentage': '9.65', 'Weighted Percentage': '18.25'}, '6': {'Value Label': 'Other race, Non-Hispanic', 'Frequency': '12,158', 'Percentage': '2.73', 'Weighted Percentage': '3.60'}}",,,1
_CHISPNC,"Child Hispanic, Latino/a, or Spanish origin calculated variable",Child Demographic Variables,,01,1482,Num,_CHISPNC,"Question:  Child Hispanic, Latino/a, or Spanish origin calculated variable","{'1': {'Value Label': 'Child of Hispanic, Latino/a, or Spanish origin', 'Frequency': '10,549', 'Percentage': '3.25', 'Weighted Percentage': '5.89'}, '2': {'Value Label': 'Child not of Hispanic, Latino/a, or Spanish origin', 'Frequency': '46,997', 'Percentage': '14.49', 'Weighted Percentage': '14.67'}, '9': {'Value Label': 'Don\x92t know/Not Sure/Refused/Missing', 'Frequency': '266,763', 'Percentage': '82.26', 'Weighted Percentage': '79.44'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '120,823', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,1
_CRACE2,Child Non-Hispanic Race including Multiracial,Child Demographic Variables,,04,1539-1540,Num,_CRACE2,Question:  Child multiracial race categorization,"{'1': {'Value Label': 'White only\nNotes: CRACASC2=10', 'Frequency': '41,818', 'Percentage': '68.73', 'Weighted Percentage': '62.60'}, '2': {'Value Label': 'Black or African American only\nNotes: CRACASC2=20', 'Frequency': '5,933', 'Percentage': '9.75', 'Weighted Percentage': '13.56'}, '3': {'Value Label': 'American Indian or Alaskan Native only\nNotes: CRACASC2=30', 'Frequency': '1,653', 'Percentage': '2.72', 'Weighted Percentage': '2.00'}, '4': {'Value Label': 'Asian Only\nNotes: CRACASC2=40,41,42,43,44,45,46,47', 'Frequency': '2,381', 'Percentage': '3.91', 'Weighted Percentage': '6.21'}, '5': {'Value Label': 'Native Hawaiian or other Pacific Islander only\nNotes: CRACASC2=50,51,52,53,54', 'Frequency': '518', 'Percentage': '0.85', 'Weighted Percentage': '0.69'}, '6': {'Value Label': 'Multiracial\nNotes: CRACASC2>99', 'Frequency': '3,464', 'Percentage': '5.69', 'Weighted Percentage': '5.15'}, '88': {'Value Label': 'No race choice given\nNotes: CRACASC2=88', 'Frequency': '859', 'Percentage': '1.41', 'Weighted Percentage': '1.55'}, '77': {'Value Label': 'Don\x92t know/Not sure\nNotes: CRACASC2=77', 'Frequency': '933', 'Percentage': '1.53', 'Weighted Percentage': '2.51'}, '99': {'Value Label': 'Refused\nNotes: CRACASC2=99', 'Frequency': '3,287', 'Percentage': '5.40', 'Weighted Percentage': '5.73'}, 'BLANK': {'Value Label': 'Missing', 'Frequency': '384,286', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,1
_CPRACE2,Preferred Child Race Categories,Child Demographic Variables,,05,1541-1542,Num,_CPRACE2,Question:  Preferred Child Race Categories,"{'1': {'Value Label': 'White\nNotes: CRACASC2=10 or CRACASC2>99 and RCSBRAC3=10', 'Frequency': '42,913', 'Percentage': '71.53', 'Weighted Percentage': '65.05'}, '2': {'Value Label': 'Black or African American\nNotes: CRACASC2=20 or CRACASC2>99 and RCSBRAC3=20', 'Frequency': '6,560', 'Percentage': '10.94', 'Weighted Percentage': '15.08'}, '3': {'Value Label': 'American Indian or Alaskan Native\nNotes: CRACASC2=30 or  CRACASC2>99 and RCSBRAC3=30', 'Frequency': '1,798', 'Percentage': '3.00', 'Weighted Percentage': '2.24'}, '4': {'Value Label': 'Asian\nNotes: CRACASC2=40 or  CRACASC2>99 and RCSBRAC3=40', 'Frequency': '2,815', 'Percentage': '4.69', 'Weighted Percentage': '6.90'}, '5': {'Value Label': 'Native Hawaiian or other Pacific Islander\nNotes: CRACASC2=50 or  CRACASC2>99 and RCSBRAC3=50', 'Frequency': '818', 'Percentage': '1.36', 'Weighted Percentage': '0.87'}, '6': {'Value Label': 'Multiracial but preferred race not answered\nNotes: CRACASC2>99 and RCSBRAC3=Missing', 'Frequency': '4', 'Percentage': '0.01', 'Weighted Percentage': '0.00'}, '7': {'Value Label': 'Multiracial but no preferred race\nNotes: CRACASC2>99 and RCSBRAC3=77 or 99', 'Frequency': '12', 'Percentage': '0.02', 'Weighted Percentage': '0.03'}, '77': {'Value Label': 'Don\x92t know/Not sure\nNotes: CRACASC2=77', 'Frequency': '1,543', 'Percentage': '2.57', 'Weighted Percentage': '3.57'}, '99': {'Value Label': 'Refused\nNotes: CRACASC2=99', 'Frequency': '3,527', 'Percentage': '5.88', 'Weighted Percentage': '6.25'}, 'BLANK': {'Value Label': 'Missing', 'Frequency': '385,142', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,1
CAGEG,Four level child age,Child Weighting Variables,,04,1569,Num,CAGEG,Question:  Four level child age,"{'1': {'Value Label': '0 months to < 5 years of age\nNotes: 0 LE CHILDAGE LT  60', 'Frequency': '11,371', 'Percentage': '22.66', 'Weighted Percentage': '24.70'}, '2': {'Value Label': '5 to < 10 years of age\nNotes: 60 LE CHILDAGE LT 120', 'Frequency': '11,901', 'Percentage': '23.72', 'Weighted Percentage': '23.43'}, '3': {'Value Label': '10 to < 15 years of age\nNotes: 120 LE CHILDAGE LT 180', 'Frequency': '14,610', 'Percentage': '29.12', 'Weighted Percentage': '29.05'}, '4': {'Value Label': '15 to < 18 years of age\nNotes: 180 LE CHILDAGE LT 216', 'Frequency': '12,294', 'Percentage': '24.50', 'Weighted Percentage': '22.82'}, 'BLANK': {'Value Label': 'Not asked or Missing', 'Frequency': '394,956', 'Percentage': '.', 'Weighted Percentage': '.'}}",,,1
